Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
Smartwatch Business Bluetooth Waterproof Sport,,587.0,,0,0,1.25,Low
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCH",,13599.0,,0,0,1.25,Low
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,,550.0,,0,0,1.25,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,,555.0,,0,0,1.25,Low
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY",,2519.0,,0,0,1.25,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,,537.0,,0,0,1.25,Low
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),,1740.0,,0,0,1.25,Low
"Huawei Y7 Pro 4G LTE Mobile Phone 4GB + 128GB Dual Camera 6.26"" 4000mah",,8999.0,,0,0,1.25,Low
Color Screen Smart Watch Heart Rate Sport Bracelet,,545.0,,0,0,1.25,Low
Fashion Men's Trendy Sneakers - White,,1490.0,,0,0,1.25,Low
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)",,2699.0,,0,0,1.25,Low
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,,890.0,,0,0,1.25,Low
Istanbul 2 Modern TV Stand With LED Lights,,7999.0,,0,0,1.25,Low
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,,1099.0,,0,0,1.25,Low
"Vitron HTC3200S 32"" Smart Frameless Android LED TV (1YR WRTY)",,11790.0,,0,0,1.25,Low
"Nexus NX IR-DST Electric Dry, Steam Iron Box, 1300W, Green 3YRs WRTY",,899.0,,0,0,1.25,Low
Annov 7-Speed Portable Hand Mixer  With Bowl,,899.0,,0,0,1.25,Low
Nunix Baking batter dispenser,,110.0,,0,0,1.25,Low
Rashnik Electric Water Dispenser Pump,,429.0,,0,0,1.25,Low
Fashion 2 In 1 Men's Short Sleeve Shorts Set,,799.0,,0,0,1.25,Low
Rashnik Manual Water Dispenser Pump,,286.0,,0,0,1.25,Low
KISSKIDS Dark Blue Baby Diaper High Count ( 9.1 - 15 Kg) L 40 Pcs,,523.0,,0,0,1.25,Low
"Nunix AK-444 - 3 In 1 Blender, Grinder & Chopper",,2352.0,,0,0,1.25,Low
Geisha Black Soap 225g,,103.0,,0,0,1.25,Low
Strong Suction Cup Double Layer Soap Dish Soap Drain Rack,,498.0,,0,0,1.25,Low
Axe Body Spray for Men - Dark Temptation - 150ml,,413.0,,0,0,1.25,Low
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",,651.0,,0,0,1.25,Low
KISSKIDS Dark Blue Baby Diaper High Count  (6.1 - 9 Kg)  M 42pcs,,523.0,,0,0,1.25,Low
Sundabest 6pcs Ceramic Mug - Yellow (130019571),,473.0,,0,0,1.25,Low
Fashion Mens Sport Hoodies Casual Long Sleeves Cotton Sweatshirts Outdoor Overhead,,1286.0,,0,0,1.25,Low
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver,,24950.0,,0,0,1.25,Low
Hikers 32'' Digital Frameless HD LED TV-Black,,10969.0,,0,0,1.25,Low
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",,14090.0,,0,0,1.25,Low
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black",,19895.0,,0,0,1.25,Low
"Roch RFR-160DT-B Double Door Fridge, 126L – Silver (1YR WRTY)",,33999.0,,0,0,1.25,Low
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,,1040.0,,0,0,1.25,Low
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,,1279.0,,0,0,1.25,Low
Tisa Nyota Ladies Handbags PU Leather Bucket Bags Women Tote Bags 3 In 1,,1350.0,,0,0,1.25,Low
Solar Light 30W/50W/100W/200W/300W Dusk To Dawn SOLAR SECURITY FLOODLIGHT,,3000.0,,0,0,1.25,Low
Hikers 43'' Inch Frameless Android Smart FHD LED TV - Black,,20599.0,,0,0,1.25,Low
VON Von 5534 4 Gas Cooker + Gas Oven 55x55 - Brown (1YR WRTY),,20695.0,,0,0,1.25,Low
"Geo Geobook 120, Intel Celeron, 4GB RAM 64GB EMMC, 12.5 Inch Display, Windows 10 - Black, 6 Months WRTY",,14999.0,,0,0,1.25,Low
Ace Elec M10 Wireless  Bluetooth 5.1 Earphones Dual LED Display,,516.0,,0,0,1.25,Low
Hikers Microwave Oven –KE-MOS20LG-Digital 20 Litres – Silver 20L 700W,,7399.0,,0,0,1.25,Low
RichRipple 3-Cables Portable Power Bank 10000mAh Fast Charger,,999.0,,0,0,1.25,Low
Vision Plus VP8850KV - 50â€³ 4K Frameless V+ OS Smart TV (2YRs WRTY),,33999.0,,0,0,1.25,Low
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,,1478.0,,0,0,1.25,Low
Annov Dry Iron -  White,,699.0,,0,0,1.25,Low
Nunix 92L Single Door Fridge Energy Efficient BC-92,,18370.0,,0,0,1.25,Low
Annov 7-Speed Portable Hand Mixer  With Bowl,,899.0,,0,0,1.25,Low
Fay Fay Kitchen Towels Twin Pack,,226.0,,0,0,1.25,Low
"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven",,18699.0,,0,0,1.25,Low
Vitron VB-Y44 - 2in1 Blender - 1.5L - 350W - White & Yellow (1YR WRTY),,1740.0,,0,0,1.25,Low
Huggies Unisex Pants Gold Size 3 Count 36,,859.0,,0,0,1.25,Low
Nunix R5 Hot & Normal Free Standing Water Dispenser - White,,4180.0,,0,0,1.25,Low
Annov 2  Slice Bread Toaster - 700W - White,,749.0,,0,0,1.25,Low
Dettol Dettol Soap Herbal 175g,,203.0,,0,0,1.25,Low
Jameson Jameson Black Barrel Irish Whiskey - 750ml,,4103.0,,0,0,1.25,Low
"Nexus NX IR-DST Electric Dry, Steam Iron Box, 1300W, Green 3YRs WRTY",,899.0,,0,0,1.25,Low
AILYONS FK-0301 Stainless Steel 1.8L Electric Kettle-Silver. (1YR WRTY),,628.0,,0,0,1.25,Low
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",,14090.0,,0,0,1.25,Low
"Nokia C31, 6.75"",13MP,64GB + 4GB RAM (Dual SIM), 5050MAh, (Dual Sim),Charcoal Grey, 1YR WRTY",,15519.0,,0,0,1.25,Low
"Samsung Galaxy A15, 6.5"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Light Blue, (1YR WRTY)",,26449.0,,0,0,1.25,Low
"VILLAON V20 6.3"" 2GB RAM+32GB Storage 8MP Camera-3000mAh Dual Sim-Blue",,6289.0,,0,0,1.25,Low
"Nokia C1 2nd Edition, 5.45"", 1GB +16GB - (DUAL SIM),Android 11, Blue",,7089.0,,0,0,1.25,Low
